일자,장소,인물,대사,화면,배경음악,표정,비고,퀘스트,퀘스트 내용
5일차 낮,카페,솔,첫 만남에 왜 그렇게 짓궂은 장난을 치셨어요.,,,웃음,,,
5일차 낮,카페,가이,장난? 아~ 그 탈부착 간 얘기 말인가?,,,일반,,,
5일차 낮,카페,가이,푸하하핫. 나는 그걸 믿을 줄 몰랐다네.,,,일반,,,
5일차 낮,카페,가이,그 말을 하자마자 화를 낼 줄 알았지.,,,일반,,,
5일차 낮,카페,가이,그런데 그걸 정말 믿더군.,,,일반,,,
5일차 낮,카페,가이,심지어는 빨리 다녀오라고 웃으며 얘기했다네.,,,일반,,,
5일차 낮,카페,가이,"하하, 요즘 시대에 그리 순수한 영혼은 정말 흔치 않은데, 간만에 재미를 좀 봤다네~.",,,일반,,,
5일차 낮,카페,가이,"아, 그리고 정말 재밌는 사실 하나 알려줄까?",,,일반,,,
5일차 낮,카페,가이,저자가 나를 쫓은 지 꽤 되었는데 그동안 한 번도 해코지한 적이 없다네.,,,일반,,,
5일차 낮,카페,가이,껄껄. 저런 심성으로 도대체 어떻게 누구를 죽이겠다는 건지 모르겠다네!,,,일반,,,
5일차 낮,카페,솔,"네, 저도 그런 부분에서 슬로우 님과 대화하면서 좀 웃긴 했어요.",,,웃음,,,
5일차 낮,카페,솔,그래도… 간을 구하시는 이유를 들으니 좀… 마음이 무겁던데요.,,,당황,,,
5일차 낮,카페,가이,그건 그렇지. 아무래도 용궁 내의 의술로는 별 진전이 없으니 그런 헛소문이 돌았겠지.,,,일반,,,
5일차 낮,카페,가이,그걸 저 순진한 자라가 깊게 믿어버린 것이고. 사실 나도 그래서 말할 타이밍을 놓쳤다네.,,,일반,,,
5일차 낮,카페,가이,"그자에게는 이 헛소문이 마지막 희망일지도 모르는데, 그런 상황에",,,일반,,,
5일차 낮,카페,가이,‘자네가 믿는 그 소문은 사실 다 가짜라네. 토끼 간은 약으로서 아무런 효능이 없어.’,,,일반,,,
5일차 낮,카페,가이,라고 말할 수가 없었다네.,,,일반,,,
5일차 낮,카페,솔,…맞는 말이네요.,,,일반,,,
5일차 낮,카페,가이,"…큼, 용왕이라는 자의 병세가 나아지길 빌면서 같이 어울려주는 것 외에는 할 수 있는 것이 없다네.",,,일반,,,
5일차 낮,카페,가이,그러니 자네도 그자에게 괜한 말 꺼내지 말아 주게나.,,,일반,,,
5일차 낮,카페,솔,"네, 무슨 말씀인지 알겠어요.",,,일반,대사 이후 가이 상반신 일러스트 사라짐,,
5일차 낮,카페,나레이션,주문 1건이 들어왔다,,,,1건,,
5일차 낮,카페,,,,,,,,
5일차 낮,카페,솔,벌써 시간이 이렇게 됐네. 정리하자.,,,일반,,,
5일차 낮,카페,,,,,,카운터 벗어나서 다시 3인칭 시점으로 복귀,,
5일차 밤,정원,레이비야크,...,,,,,,
5일차 밤,정원,솔,무슨 생각을 저렇게 골똘히 하시는 걸까?,,,,,,
5일차 밤,정원,솔,뭔가 방해하면 안 될 것 같아,,,,,,
5일차 밤,카페2,,,,,,,,
5일차 밤,카페2,바이올렛,(음표),,,,,,
5일차 밤,카페2,솔,바이올렛은 공연 때문에 바빠 보여,,,,,,
5일차 밤,카페2,솔,방해하지 말자,,,,,,
5일차 밤,의무실,,,,,,,,
5일차 밤,의무실,러스크,백만 스물 하나. 백만 스물 둘.,,,,,,
5일차 밤,의무실,러스크,아저씨는 운동하시느라 바빠 보여,,,,,,
5일차 밤,의무실,러스크,방해하면 혼나지 않을까...?,,,,,,
5일차 밤,의무실,,,,,,,,
5일차 밤,의무실,솔,안녕하세요! 햄 할아버지!,,,,,,
5일차 밤,의무실,사다리,데구르르....,,,,,,
5일차 밤,의무실,햄,홀홀.....,,,,,,
5일차 밤,의무실,햄,반가운 손님이 왔구만 그려,,,,,,
5일차 밤,의무실,햄,그래. 솔 자네가 어찌 왔는가?,,,,,,
5일차 밤,의무실,햄,혹시...저번에 내가 말한 그 침을 맞으러 왔는가?,,반짝(피칭),,,,
5일차 밤,의무실,솔,앗!!!!,,,,,,
5일차 밤,의무실,솔,아니에요 아니에요,,,,,,
5일차 밤,의무실,솔,저는 이 편지에 대해서 여쭤보러 왔어요,,,,,,
5일차 밤,의무실,솔,"요즘 편지를 잘 쓰는 경우가 없는데, 저한테 이 편지지가 도착했어요",,,,,,
5일차 밤,의무실,솔,그런데 보낸 사람이 누군지도 모르겠어서..,,,,,,
5일차 밤,의무실,솔,혹시 할아버지는 아시는 게 있을까 한 번 여쭤보러 왔어요,,,,,,
5일차 밤,의무실,햄,흠... 아쉽구만,,,,,,
6일차 아침,객실,,(객실 자동 이동),,,,,,
6일차 아침,객실,솔,몸이 가벼운 것 같아. 오늘은 좀 일찍 출근할까...,,,웃음,,,
6일차 아침,객실,나레이션,띠띠띠-,,시계 알람 소리,,,,
6일차 아침,객실,솔,이것도 이제 필요 없겠는걸.,,,웃음,,,
6일차 아침,객실,나레이션,지금은 일할 시간이야.,,,,카페 외 다른 장소로 이동 시,,
6일차 낮,카페,,,,카페 bgm,,카운터 진입 시 1인칭으로 전환,,
6일차 낮,카페,,랜덤 등장인물 룸서비스 주문 3건,,,,3건,,
6일차 낮,카페,,,,,,,,
6일차 낮,카페,나레이션,주문 5건이 들어왔다,,,,5건,,
6일차 낮,카페,,,,,,,,
6일차 낮,카페,가이,자네 오늘도 수고가 많네. 아메리카노 한 잔 따뜻하게 주게나.,,,일반,아메리카노 6 -핫,,
6일차 낮,카페,,,음료제작창,,,음료제작,,
6일차 낮,카페,가이,오~ 이 커피 맛이 좋구만. 어떤 원두로 내린 건가?,,,일반,,,
6일차 낮,카페,솔,파이아 씨에게서 구매한 원두로…,,,웃음,,,
6일차 낮,카페,나레이션,"가이와 솔이 이야기를 나누는 도중, 카페로 슬로우가 들어온다.",,,,,,
6일차 낮,카페,슬로우,안녕하… 반가운 얼굴이 있구만.,,,일반,,,
6일차 낮,카페,가이,"어이쿠, 큰일이군. 만나 버렸구만.",,,일반,,,
6일차 낮,카페,솔,…안녕하세요 슬로우 님.,,,일반,,,
6일차 낮,카페,나레이션,슬로우는 가이를 탐탁지 않은 표정으로 째려본다.,,,,,,
6일차 낮,카페,가이,우리 오랜만에 마주쳤는데 그렇게까지 째려보지 말게나.,,,일반,,,
6일차 낮,카페,가이,…아차! 혹시 간에 커피 향이 배일까 걱정하는 겐가?!,,,일반,,,
6일차 낮,카페,가이,걱정하지 말게나 자네~ 오늘 안에 충분히 다 빠져나갈 것이야~ 껄껄껄.,,,일반,,,
6일차 낮,카페,슬로우,그런 걱정 하지 않았다네! 시끄럽게 조잘대지 말게.,,,화남,,,
6일차 낮,카페,슬로우,커피 향이 배든 말든 지금이라도 당장 간을 가져갈 테니!,,,화남,,,
6일차 낮,카페,가이,아니 자네! 그렇게 상도덕도 없는 자라였단 말인가!,,,당황,,,
6일차 낮,카페,가이,지금 우리 커피 청년이 다 보고 있는데 여기서 그런 일을 거행하면 쓰겠나!,,,당황,,,
6일차 낮,카페,슬로우,"…자네, 잠시 눈을 감게.",,,화남,,,
6일차 낮,카페,가이,커피 청년만 눈을 감으면 될 일이 아닐세!,,,당황,,,
6일차 낮,카페,가이,카페 내에서 여유롭게 커피 한 잔의 여유를 가지던 손님들은 무슨 죄인가 생각해 보게!,,,당황,,,
6일차 낮,카페,가이,저자들도 토끼 피를 보면서 커피를 즐기고 싶지는 않을 게야!,,,당황,,,
6일차 낮,카페,슬로우,…아주 맞는 말만 해 대는군 자네는!,,,화남,,,
6일차 낮,카페,슬로우,카페 밖에서 만나게 되면 정말 각오하게!,,,화남,,,
6일차 낮,카페,슬로우,그땐 자네가 어떤 말을 해도 봐주지 않을 테니까!,,,화남,,,
6일차 낮,카페,나레이션,슬로우는 살짝 분해 보이는 표정으로 카페를 떠난다.,,,,,,
6일차 낮,카페,가이,"…풉, 푸하학!",,,일반,,,
6일차 낮,카페,나레이션,가이는 슬로우가 떠나고 한참을 웃는다.,,,,,,
6일차 낮,카페,가이,자네… 내가 왜 저자를 놀리는지 알겠나? 몇 마디 던지면 아주 반응이 월척이라네. 지루할 틈이 없지.,,,일반,,,
6일차 낮,카페,솔,조금씩 이해가 가네요.,,,일반,,,
6일차 낮,카페,나레이션,"그때, 룸 서비스 주문 알림이 들려온다. 띠링-",,딸랑 효과음(카페 화면 전환 때와 동일한 효과음),,,,
6일차 낮,카페,바이올렛,슬로우 씨 주문이야! 내용은 아이스 아메리카노! 150빈 지불하셨어.,,,일반,아메리카노 7 -아이스 / 룸서비스 주문 목록창으로 자동 전환 + 슬로우 주문 건 자동 선택,,
6일차 낮,카페,솔,"푸하핫, 커피가 엄청 드시고 싶으셨나 봐요.",,,웃음,,,
6일차 낮,카페,나레이션,주문 내역을 보며 가이는 웃음을 참지 못한다. 솔도 새어 나오는 웃음을 참지 못한 채 음료를 만들기 시작한다.,,,,,,
6일차 낮,카페,,(음료 제작),음료제작창,,,음료제작,,
6일차 낮,카페,솔,오늘도 열심히 일한 것 같아. 뿌듯하네.,,,웃음,카운터 벗어나서 3인칭으로 복귀,,
7일차 아침,객실,,,,,,,,
7일차 아침,객실,솔,(음표),,새소리,,,,
7일차 아침,객실,솔,새 소리가 아름다워. 계속 듣게 돼.,,,웃음,,,
7일차 아침,객실,솔,...,,,일반,,,
7일차 아침,객실,솔,어? 벌써 시간이 이렇게 됐잖아! 손님들이 기다리시겠어!,,,놀람,,,
7일차 아침,객실,나레이션,손님들이 기다리실 거야.,,,,카페 외 다른 장소로 이동 시,,
7일차 낮,카페,,,,카페 bgm,,카운터 진입 시 1인칭으로 전환,,
7일차 낮,카페,,랜덤 등장인물 룸서비스 주문 5건,,,,5건,,
7일차 낮,카페,,,,,,,,
7일차 낮,카페,나레이션,주문 4건이 들어왔다,,,,4건,,
7일차 낮,카페,,,,,,에스프레소5,,
7일차 낮,카페,슬로우,에스프레소 1잔,음료제작창,,일반,음료제작,,
7일차 낮,카페,,,,,,,,
7일차 낮,카페,슬로우,"그자와 마주치기 위해 요즘에는 원래보다 늦게 카페에 오고 있는데, 만나기가 힘들구만.",,,일반,,,
7일차 낮,카페,솔,두 분은 참 우연히 안 마주치시네요.,,,일반,,,
7일차 낮,카페,슬로우,"흥, 그자도 참 운이 좋구만.",,,화남,,,
7일차 낮,카페,솔,"…그나저나 슬로우 님, 용왕님의 현재 상태는 어떻다던가요?",,,당황,,,
7일차 낮,카페,슬로우,...,,,일반,,,
7일차 낮,카페,슬로우,…점점 악화되고 있는 것 같네. 내가 더 노력해야만 하네.,,,일반,,,
7일차 낮,카페,솔,…혹시 토끼 간 외에 다른 방법은 없나요? 다른 소문이 들려오거나 하지는 않았나요?,,,당황,,,
7일차 낮,카페,슬로우,현재 용궁에 전해지는 방법들은 거의 다 시도해 봤다네.,,,일반,,,
7일차 낮,카페,슬로우,남은 건 토끼 간과 신화에서 등장하는 *불사조의 꽃 뿐일세.,,,일반,특별템,,
7일차 낮,카페,슬로우,그러나 후자의 것은 정말 고대 용궁 신화에서만 등장하는 것이라 아마 허구의 것일 가능성이 높지.,,,일반,,,
7일차 낮,카페,슬로우,나에겐 토끼의 간뿐이라네.,,,일반,,,
7일차 낮,카페,솔,...,,,당황,,,
7일차 낮,카페,슬로우,...,,,일반,,,
7일차 낮,카페,나레이션,카페 내에 무거운 분위기가 맴돈다.,,,,,,
7일차 낮,카페,슬로우,그런데 용궁에서는 계속해서 안 좋은 소식이 들려오고 내가 할 수 있는 일은 하나뿐이네.,,,일반,,,
7일차 낮,카페,슬로우,토끼의 간을 구해 돌아가는 것만이 내가 택할 수 있는 유일한 길이라네.,,,일반,,,
7일차 낮,카페,슬로우,"하하, 어쩌면 그자와 내가 자주 마주치지 않는 건, 내가 무의식중에 그자와 정드는 걸 피해 왔기 때문일지도 모르겠다는 생각이 드는군.",,,일반,,,
7일차 낮,카페,슬로우,정을 붙이면 나중에 내가 더 힘들어질 테니.,,,일반,,,
7일차 낮,카페,슬로우,나는 나쁘고 이기적이고 잔혹한 자라일세. 욕먹어야 마땅하다네.,,,일반,,,
7일차 낮,카페,솔,슬로우 님이 해 오셨을 고뇌가 느껴진다. 눈동자에는 괴로움이 비친다.,,,당황,혼잣말 (연한 글씨색),,
7일차 낮,카페,솔,나는 슬로우 님의 말에 어떠한 대답도 꺼낼 수가 없다.,,,당황,혼잣말 (연한 글씨색),,
7일차 낮,카페,솔,"소문이 가짜라는 말도, 짤막한 위로도 전할 수 없다.",,,당황,혼잣말 (연한 글씨색),,
7일차 낮,카페,솔,오늘은...그만해야겠어.,,,당황,카운터 벗어나서 3인칭으로 복귀,,
7일차 낮,카페,나레이션,"아아, 안내 말씀 드립니다.",,,,,,
7일차 낮,카페,나레이션,"잠시 후, 특별 상점이 오픈 될 예정이오니, ",,,,,,
7일차 낮,카페,나레이션,구매가 필요하신 분들은 발코니로 모여주시기 바랍니다.,,,,,,
7일차 낮,카페,나레이션,"이상, 안내 말씀드렸습니다.",,,,,,
7일차 낮,카페,나레이션,"루나 익스프레스 승객 여러분, 좋은 하루 되시길 바라겠습니다. ",,,,4일차 특별상점에서 구매하지 않은 나머지 아이템 한 가지 구매,,
7일차 밤,발코니,파이아,안녕 솔~ 그동안 카페 일은 어땠어?,,바이크 소리,웃음,,,
7일차 밤,발코니,솔,...여러 일이 많았어요. 파이아 님은 잘 지내셨어요?,,,당황,,,
7일차 밤,발코니,파이아,"응! 나야 항상, 너에게 다음번엔 뭘 가져다줄지 고민하며 지내. ",,,웃음,,,
7일차 밤,발코니,솔,하하. 정말 감사해요.,,,웃음,,,
7일차 밤,발코니,,(치타 상점 창 오픈),,,,치타 상점,,
7일차 밤,발코니,,,,,,치타 상점,,
7일차 밤,발코니,파이아,다음에 또 보자. 그땐 웃으면서 맞아줘~,,바이크 소리,웃음,,,
8일차 아침,객실,,,,,,,,
8일차 아침,객실,솔,커튼 틈새로 들어온 빛에 잠이 깨 버렸다.,,,일반,혼잣말 (연한 글씨),,
8일차 아침,객실,솔,오늘은 좀 일찍 오픈해 볼까...,,,일반,,,
8일차 아침,객실,나레이션,지금은 일할 시간이야.,,,,카페 외 다른 장소로 이동 시,,
8일차 아침,카페,,,,카페 bgm,,카운터 진입 시 1인칭으로 전환,,
8일차 아침,카페,나레이션,오픈 준비를 끝마치고 얼마 지나지 않아 슬로우가 카페에 모습을 드러낸다.,,bgm 제거 or 배드엔딩에 쓰이는 bgm 삽입,,,,
8일차 아침,카페,슬로우,"자네, 나 결심했네. 토끼의 간을 내일 훔치고 말 것이야.",,,당황,,,
8일차 아침,카페,슬로우,방금 용왕님이 정말 위독한 상태라고 전달받았다네.,,,당황,,,
8일차 아침,카페,슬로우,내가 더 지체했다가는 정말로 큰일 나겠어.,,,당황,,,
8일차 아침,카페,솔,불사조의 꽃을 건넨다.,,,웃는 표정,(해피엔딩),,
8일차 아침,카페,솔,침묵을 유지한다,,,슬픈 표정,(배드엔딩),,
ED1 (해피엔딩),카페,,,,,,,,
ED1 (해피엔딩),카페,솔,그런 무서운 말씀 마세요. 저는 제 일터에서 피를 보고 싶진 않아요.,,카페 bgm,웃는 표정,,,
ED1 (해피엔딩),카페,나레이션,"주인공의 말을 어디서부터 들었는지는 몰라도, 가이가 놀란 표정으로 불쑥 슬로우와 주인공 사이를 가르고 나타난다.",,,,,,
ED1 (해피엔딩),카페,가이,자네들 방금 무슨 이야기 했나? 슬로우 이 자가 오늘은 정말 나를 죽이려고 하는 겐가?,,,놀란 표정,,,
ED1 (해피엔딩),카페,솔,아마도 그럴 예정이셨던 것 같네요.,,,웃는 표정,,,
ED1 (해피엔딩),카페,솔,"(속삭임) 그리고 가이 님, 이제 사실을 말씀드릴 때예요.",,,,연한 글씨색,,
ED1 (해피엔딩),카페,솔,제가 좋은 방법을 찾아냈어요.,,,웃는 표정,연한 글씨색 ,,
ED1 (해피엔딩),카페,가이,그게 정말인가? 자네 큰일을 했구만!,,,놀란 표정,,,
ED1 (해피엔딩),카페,가이,"큼. 그렇다면 기쁜 마음으로 이제는 말해줘야겠군, 잘 듣게.",,,웃는 표정,,,
ED1 (해피엔딩),카페,가이,"자네 빼고 여기의 모든 사람이 이미 알고 있네만, 토끼의 간은 자네 용왕의 병에 아~무런 효능이 없다네!",,,웃는 표정,,,
ED1 (해피엔딩),카페,가이,그동안 나를 졸졸 쫓아다니면서 귀찮게 한 것은 의미가 없는 행동이었다는 말일세.,,,웃는 표정,,,
ED1 (해피엔딩),카페,슬로우,그…그런! 자네의 말은 믿을 수가 없네!,,,화내는 표정,,,
ED1 (해피엔딩),카페,가이,나의 거짓말에 자네가 속아 넘어간 전적이 있다고 해도 이것은 너무나 당연한 사실일세. 그렇지 커피 청년?,,,웃는 표정,,,
ED1 (해피엔딩),카페,솔,"…네, 가이 님의 말씀이 맞아요. 슬로우 님은 무고한 토끼를 잡을 뻔하셨어요.",,,웃는 표정,,,
ED1 (해피엔딩),카페,슬로우,…정말 나 빼고 모두 헛소문임을 알고 있었단 말인가?,,,놀란 표정,,,
ED1 (해피엔딩),카페,나레이션,"슬로우는 새롭게 알게 된 사실에 당황하지만, 가이는 이 상황을 즐기고 있다.",,,,,,
ED1 (해피엔딩),카페,나레이션,긴 정적이 이어진다.,,,,,,
ED1 (해피엔딩),카페,슬로우,…자네에게는 미안하네. 용왕님의 병을 낫게 한다는 목적에만 정신 팔려 사실 확인도 하지 않고 정신 나간 짓을 저지르려고 한 것 같네.,,,위축된 표정(눈치보는듯한표정),,,
ED1 (해피엔딩),카페,슬로우,다시 한번 사과하겠…,,,,,,
ED1 (해피엔딩),카페,가이,푸하핫. 그만 사과하게나.,,,웃는 표정,,,
ED1 (해피엔딩),카페,가이,나는 되려 자네가 나를 따라다니며 즐겁게 해 준 것에 대해 고마워하고 있네.,,,웃는 표정,,,
ED1 (해피엔딩),카페,슬로우,"자네도 정신이 나간 게로군. 나는 자네를 죽이려 했는데, 그것이 즐거웠는가?",,,화내는 표정,,,
ED1 (해피엔딩),카페,가이,자네 성격에 그런 짓을 못 할 거라는 걸 알고 있었으니 마냥 웃기기만 했다네.,,,웃는 표정,,,
ED1 (해피엔딩),카페,가이,지금까지 자네가 나에게 실제로 해코지한 것이 있기는 한가? 항상 어린애같이 시비만 걸지 않았나.,,,웃는 표정,,,
ED1 (해피엔딩),카페,슬로우,...,,,화내는 표정,,,
ED1 (해피엔딩),카페,슬로우,그래도 사과해야 맞는 일일세.,,,,,,
ED1 (해피엔딩),카페,가이,…나보다도 자네가 고생했을 게야. 맞지도 않는 잔혹한 일을 하려고 골머리를 앓았겠지.,,,,,,
ED1 (해피엔딩),카페,가이,자네가 그렇게나 나에게 미안하다면 앞으로도 나를 졸졸 따라다니면서 재롱잔치나 더 보여 주게나. ,,,웃는 표정,,,
ED1 (해피엔딩),카페,슬로우,"…자네도 참, 말을 얄밉게 하는 데에는 아주 도가 텄군.",,,웃는 표정,,,
ED1 (해피엔딩),카페,슬로우,감동받아서 나오려던 눈물이 쏙 들어가는구만.,,,웃는 표정,,,
ED1 (해피엔딩),카페,나레이션,슬로우는 웃으면서 주인공이 준 꽃을 챙겨 카페를 떠난다.,,,웃는 표정,,,
ED1 (해피엔딩),카페,가이,껄껄. 자네에게는 정말 고맙네. 하마터면 저런 엉뚱하고 재밌는 친구를 잃을 뻔했구만.,,,웃는 표정,,,
ED1 (해피엔딩),카페,나레이션,가이도 호탕하게 웃으며 자리를 떠난다.,,,,,,
ED1 (해피엔딩),카페,솔,...정말 다행이야.,,,웃는 표정,"객실로 자동 이동 / 밤 시간 X, 다음 날로 ",,
ED2 배드엔딩,카페,나레이션,다음날,,정원 bad ending ver.,,검은 화면에 흰 글씨,,
ED2 배드엔딩,카페,솔,"가이 님, 어제 슬로우 님께서 이런 말씀을 하셨어요. ",,,당황,1인칭,,
ED2 배드엔딩,카페,가이,…뭐? 그자가 진정 임무를 수행한다고 했다고? 그자 성격에 그런 게 가능할 리가…,,,당황,,,
ED2 배드엔딩,카페,솔,용왕님의 상태가 정말 긴급하다는 연락을 받으셨대요. 말씀하시는 모습이 전과는 조금 달라 보였어요.,,,당황,,,
ED2 배드엔딩,카페,가이,…흠.,,,당황,,,
ED2 배드엔딩,카페,가이,아무래도 이 놀이도 이제 끝나려는 모양이구만.,,,당황,,,
ED2 배드엔딩,카페,가이,사실 나는 그자와 친구가 될 수 있지 않을까 생각했다네.,,,일반,,,
ED2 배드엔딩,카페,가이,"그 나이에 토끼의 간이 있으면 용왕이 나을 거라는 헛소리를 믿고 나를 잡으러 다니는 것이, ",,,일반,,,
ED2 배드엔딩,카페,가이,입으로는 나를 잡겠다고 삐죽대면서 마음이 여려 아무것도 못 하는 꼴이 꽤나 웃겼다네.,,,일반,,,
ED2 배드엔딩,카페,가이,그런 친구를 하나 두면 남은 생이 좀 더 재밌을 거로 생각했네.,,,일반,,,
ED2 배드엔딩,카페,가이,"요것은 단단한 내 착각이었군그려, 하마터면 재미를 쫓다 목숨을 잃을 뻔했구만.",,,일반,,,
ED2 배드엔딩,카페,가이,"아무튼 자네, 알려줘서 고맙네! 그리고 그동안 커피도 고마웠네~ 자네는 내 생명의 은인이야.",,,일반,,,
ED2 배드엔딩,카페,가이,나중에 내 간이 필요하면 찾아오게나! 자네에게는 슬쩍 꺼내줄지도 모른다네~ 껄껄껄.,,,일반,,,
ED2 배드엔딩,카페,나레이션,가이는 말을 끝내고 카페를 떠난다.,,,,대사 이후 객실로 자동 이동,,
ED2 배드엔딩,객실,,,,,,,,
ED2 배드엔딩,객실,나레이션,"그날 저녁, 열차에는 짤막한 방송이 울린다.",주인공 객실(밤),,,,,
ED2 배드엔딩,객실,열차 안내 음성,"아아, 기차 탑승하신 승객분들께 알립니다. 기차 연료의 고갈로 가장 가까운 역에서 잠시 긴급 정차할 예정입니다.",,,,,,
ED2 배드엔딩,객실,열차 안내 음성,"정차할 역은 일루나 역으로, 저희 기차의 정차 예정지에는 포함되어 있지 않은 곳입니다.",,,,,,
ED2 배드엔딩,객실,열차 안내 음성,예정지로 착각하여 하차하지 않도록 주의해 주십시오.,,,,,,
ED2 배드엔딩,객실,나레이션,"다음 날 아침, 가이가 묵었던 객실은 마치 아무도 없었다는 듯 깨끗한 상태로 비워져 있다.",가이 객실 (비워진),새소리,,,,
ED2 배드엔딩,카페,,,암전,뛰는 발소리+딸랑 소리(카페에 들어오는 소리),,카페 카운터 안 1인칭으로 자동 전환,,
ED2 배드엔딩,카페,슬로우,"자네, 토끼가 어디로 갔는지 알고 있나?",,,화남,,,
ED2 배드엔딩,카페,솔,‘…토끼의 간은 용왕의 병을 낫게 하는 데에 아무런 쓸모가 없다네.’,,,당황,,,
ED2 배드엔딩,카페,슬로우,…자네 지금 뭐라고 했나?,,,당황,슬로우 상반신 일러스트 표정 변화,,
ED2 배드엔딩,카페,솔,‘용왕의 병은 정말 안타깝네만 내가 도와줄 수 있는 것은 없네. 나도 먼 곳에서 쾌유를 빌겠네.,,,당황,솔에서,,
ED2 배드엔딩,카페,가이,"그리고 자네, 자네에게는 자네의 성품에 어울리는 일을 하라고 말해주고 싶네.",,,당황,가이로 대사창 초상화 변환,,
ED2 배드엔딩,카페,가이,어울리지도 않는 이런 일은 그만두고 좋은 일을 하게나. 자네의 깨끗한 마음을 지키게.,,,당황,슬로우 상반신 일러스트 표정 변화,,
ED2 배드엔딩,카페,가이,자네 덕분에 요 근래 꽤나 즐거웠다네.,,,당황,슬로우 상반신 일러스트 표정 변화,,
ED2 배드엔딩,카페,가이,내가 없어진 걸 알면 카페로 달려올 것 같으니 여기에 마지막 인사를 남기고 가겠네. 잘 살게나!',,,당황,슬로우 상반신 일러스트 표정 변화,,
ED2 배드엔딩,카페,솔,...라고 전해달라고 하셨어요.,,,당황,다시 솔로 대사창 초상화 변환,,
ED2 배드엔딩,카페,슬로우,...,,,일반,,,
ED2 배드엔딩,카페,나레이션,슬로우는 착잡한 표정을 하고는 객실로 돌아간다.,,,,슬로우 상반신 일러스트 사라짐,,
ED2 배드엔딩,카페,나레이션,"기차가 다음 역에 정차할 때까지 그는 모습을 보이지 않다가,",암전,,,,,
ED2 배드엔딩,카페,나레이션,기차가 멈춰 서자마자 기차에서 내려 어딘가로 떠나 버린다.,암전,,,,,
,,,,암전,,,객실로 자동 이동 / 밤 시간 X 다음 날로,,
,,,,,,,,,
8일차 밤,객실,나레이션,포탈이 열리는 소리가 들린다. ,암전,기차 포탈 소리 (웅....),,,,
,,,,,,,,,
,,,,,,,,,
1챕터 종료,,,,,,,,,
